#jdb (days)	RV (km/s)	RV error (km/s)	realistic RV error (km/s)	Bisector (km/s)	FWHM (km/s)	Photon noise (km/s)	log(R'hk)	log(R'hk) error	Low pass filter log(R'hk)	Alpha (hours)	Delta (degrees)	Seeing
#----------	---------	---------------	-------------------------	---------------	-----------	-------------------	---------	---------------	-------------------------	-------------	---------------	------
54913.888920	-22.509946	0.000358	0.000987	0.002786	6.262181	0.000026	-4.9567	0.0002	-4.9573	14.6587502097	-60.8341620864	1.57
54913.901415	-22.510435	0.000451	0.001025	0.002921	6.262500	0.000047	-4.9566	0.0003	-4.9573	14.6587502097	-60.8341620864	1.57
54914.843449	-22.510819	0.000338	0.000980	0.002826	6.264027	0.000023	-4.9567	0.0001	-4.9575	14.6587495317	-60.8341622297	1.38
54914.856562	-22.511020	0.000432	0.001016	0.002867	6.264347	0.000048	-4.9585	0.0003	-4.9575	14.6587495317	-60.8341622297	1.27
54915.752918	-22.512988	0.000376	0.000994	0.002690	6.265623	0.000033	-4.9550	0.0002	-4.9576	14.6587488384	-60.8341623271	1.63
54915.912435	-22.512034	0.000387	0.000998	0.002280	6.265472	0.000033	-4.9537	0.0002	-4.9576	14.6587488384	-60.8341623271	1.80
54916.752588	-22.513131	0.000354	0.000986	0.001857	6.266393	0.000026	-4.9515	0.0002	-4.9577	14.6587481428	-60.8341623844	1.60
54916.833122	-22.512838	0.000395	0.001001	0.001803	6.264529	0.000035	-4.9512	0.0002	-4.9577	14.6587481428	-60.8341623844	1.75
54916.902333	-22.512575	0.000417	0.001010	0.002069	6.265814	0.000049	-4.9517	0.0003	-4.9577	14.6587481428	-60.8341623844	1.85
54917.733107	-22.512190	0.000356	0.000986	0.002265	6.266306	0.000026	-4.9486	0.0001	-4.9578	14.6587474542	-60.8341623958	1.54
54917.821595	-22.512588	0.000356	0.000986	0.002452	6.265911	0.000028	-4.9513	0.0002	-4.9579	14.6587474542	-60.8341623958	1.62
54917.906534	-22.512985	0.000358	0.000987	0.002463	6.265191	0.000030	-4.9520	0.0002	-4.9579	14.6587474542	-60.8341623958	1.76
54918.709852	-22.514247	0.000358	0.000987	0.002497	6.266822	0.000029	-4.9507	0.0002	-4.9580	14.6587467616	-60.8341623672	0.88
54918.908088	-22.513349	0.000362	0.000989	0.002722	6.266172	0.000030	-4.9517	0.0002	-4.9580	14.6587467616	-60.8341623672	1.76
54919.730697	-22.513030	0.000634	0.001117	0.002296	6.266194	0.000077	-4.9486	0.0004	-4.9580	14.6587460309	-60.8341622927	1.64
54919.811828	-22.513054	0.000451	0.001025	0.002514	6.265153	0.000045	-4.9498	0.0003	-4.9580	14.6587460309	-60.8341622927	1.35
54920.744836	-22.514296	0.000358	0.000987	0.002316	6.267303	0.000026	-4.9465	0.0001	-4.9581	14.6587453094	-60.8341621724	1.74
54920.815704	-22.514855	0.000358	0.000987	0.002220	6.265054	0.000026	-4.9440	0.0002	-4.9581	14.6587453094	-60.8341621724	1.38
54920.896028	-22.514849	0.000391	0.001000	0.002174	6.264850	0.000040	-4.9528	0.0002	-4.9581	14.6587453094	-60.8341621724	1.86
54932.679295	-22.521610	0.000400	0.001003	0.001686	6.261535	0.000042	-4.9759	0.0003	-4.9564	14.6587364679	-60.8341573137	1.78
54932.759117	-22.523507	0.000387	0.000998	0.001997	6.257715	0.000034	-4.9720	0.0002	-4.9564	14.6587364679	-60.8341573137	1.04
54932.849349	-22.521404	0.000391	0.001000	0.001758	6.261661	0.000035	-4.9737	0.0002	-4.9564	14.6587364679	-60.8341573137	0.93
54933.703426	-22.520036	0.000387	0.000998	0.001368	6.262798	0.000039	-4.9754	0.0002	-4.9560	14.6587356887	-60.8341566032	1.45
54933.788269	-22.520790	0.000387	0.000998	0.001590	6.259457	0.000045	-4.9791	0.0003	-4.9560	14.6587356887	-60.8341566032	1.36
54933.852854	-22.519003	0.000424	0.001013	0.001556	6.262827	0.000075	-4.9793	0.0005	-4.9560	14.6587356887	-60.8341566032	1.83
54934.681202	-22.522213	0.000387	0.000998	0.001363	6.263242	0.000033	-4.9665	0.0002	-4.9556	14.6587349411	-60.8341558756	0.75
54934.757108	-22.523295	0.000387	0.000998	0.001514	6.260447	0.000030	-4.9647	0.0002	-4.9555	14.6587349411	-60.8341558756	0.68
54934.835081	-22.522882	0.000441	0.001020	0.001406	6.261871	0.000050	-4.9691	0.0003	-4.9555	14.6587349411	-60.8341558756	0.68
54935.656354	-22.523155	0.000387	0.000998	0.000959	6.263950	0.000037	-4.9623	0.0002	-4.9551	14.6587341936	-60.8341551078	0.90
54935.754618	-22.522648	0.000387	0.000998	0.001298	6.264451	0.000036	-4.9622	0.0002	-4.9551	14.6587341936	-60.8341551078	1.01
54935.831582	-22.524016	0.000387	0.000998	0.001327	6.262471	0.000032	-4.9610	0.0002	-4.9550	14.6587341936	-60.8341551078	0.88
54936.677986	-22.523056	0.000387	0.000998	0.001126	6.268501	0.000038	-4.9588	0.0002	-4.9546	14.6587334079	-60.8341542598	0.79
54936.767508	-22.523274	0.000387	0.000998	0.001049	6.265464	0.000045	-4.9610	0.0003	-4.9545	14.6587334079	-60.8341542598	1.60
54936.840030	-22.523403	0.000387	0.000998	0.001413	6.266684	0.000052	-4.9647	0.0003	-4.9545	14.6587334079	-60.8341542598	0.79
54937.669556	-22.525458	0.000397	0.001002	0.001825	6.269209	0.000039	-4.9553	0.0002	-4.9540	14.6587326428	-60.8341533889	1.20
54937.757386	-22.524787	0.000397	0.001002	0.001578	6.267892	0.000035	-4.9534	0.0002	-4.9540	14.6587326428	-60.8341533889	0.72
54937.834384	-22.525873	0.000401	0.001004	0.001966	6.265837	0.000034	-4.9542	0.0002	-4.9539	14.6587326428	-60.8341533889	0.81
54938.682585	-22.525789	0.000387	0.000998	0.001495	6.268266	0.000037	-4.9504	0.0002	-4.9534	14.6587318590	-60.8341524493	0.51
54938.741893	-22.525790	0.000387	0.000998	0.001350	6.266945	0.000039	-4.9519	0.0002	-4.9534	14.6587318590	-60.8341524493	0.83
54938.821621	-22.526171	0.000387	0.000998	0.001746	6.265869	0.000035	-4.9505	0.0002	-4.9533	14.6587318590	-60.8341524493	0.80
54939.684402	-22.524231	0.000387	0.000998	0.001346	6.268477	0.000050	-4.9531	0.0003	-4.9528	14.6587310817	-60.8341514810	1.27
54939.746019	-22.524035	0.000387	0.000998	0.001201	6.266979	0.000054	-4.9533	0.0003	-4.9528	14.6587310817	-60.8341514810	0.99
54939.816024	-22.523686	0.000387	0.000998	0.000877	6.268190	0.000056	-4.9530	0.0004	-4.9527	14.6587310817	-60.8341514810	1.86
54940.690266	-22.525603	0.000397	0.001002	0.001637	6.267644	0.000038	-4.9460	0.0002	-4.9522	14.6587302998	-60.8341504611	0.79
54940.762460	-22.523473	0.000397	0.001002	0.001871	6.268343	0.000043	-4.9485	0.0003	-4.9521	14.6587302998	-60.8341504611	1.14
54940.841272	-22.524679	0.000397	0.001002	0.001848	6.267529	0.000042	-4.9483	0.0003	-4.9521	14.6587302998	-60.8341504611	1.63
