BJD-2450000,Ha,eHa,nothing1,Ca,nothing2,eCa,nothing3,NaD,eNaD,FWHM,eFWHM,Ins
8025.4895,0.4727,0.0010,,4.255,,0.128,,0.209,0.010,4.513841,0.000039,HARPS-Post2015
8026.4954,0.4712,0.0010,,3.888,,0.100,,0.211,0.010,4.526845,0.000047,HARPS-Post2015
8027.3484,0.4628,0.0013,,,,,,0.195,0.017,,,CARMENES
8027.4953,0.4677,0.0011,,,,,,,,4.517064,0.000051,HARPS-Post2015
8028.3770,0.4730,0.0017,,,,,,0.202,0.016,,,CARMENES
8032.3074,0.4777,0.0013,,,,,,0.170,0.015,,,CARMENES
8033.3506,0.4636,0.0014,,3.784,,0.038,,0.203,0.010,4.519994,0.000065,HARPSN
8034.3570,0.4678,0.0013,,4.349,,0.027,,0.207,0.010,4.520401,0.000063,HARPSN
8035.3551,0.4693,0.0013,,4.223,,0.026,,0.202,0.010,4.518761,0.000063,HARPSN
8036.3841,0.4610,0.0014,,3.869,,0.073,,0.201,0.010,4.522845,0.000067,HARPSN
8037.3360,0.4640,0.0014,,3.736,,0.029,,0.197,0.010,4.516856,0.000065,HARPSN
8038.3676,0.4647,0.0013,,4.424,,0.064,,0.202,0.010,4.514829,0.000069,HARPSN
