BJD-2450000,Ha,eHa,nothing1,Ca,nothing2,eCa,nothing3,NaD,eNaD,FWHM,eFWHM,Ins
5803.5592,0.4826,0.0013,,,,,,0.215,0.009,,,PFS
5804.5062,0.4815,0.0013,,4.353,,0.118,,0.199,0.010,4.524149,0.000064,HARPS-Pre2015
5804.5956,0.4776,0.0011,,,,,,0.185,0.009,,,PFS
5805.5019,0.4842,0.0011,,4.519,,0.080,,0.197,0.010,4.521617,0.000055,HARPS-Pre2015
5806.8062,0.4805,0.0009,,4.353,,0.016,,,,,,HIRES
5807.5111,0.4760,0.0011,,4.250,,0.072,,0.194,0.010,4.522256,0.000063,HARPS-Pre2015
5808.8141,0.4871,0.0007,,4.567,,0.016,,,,,,HIRES
5809.5944,0.4810,0.0012,,4.477,,0.065,,0.200,0.010,4.523730,0.000063,HARPS-Pre2015
5809.8823,0.4934,0.0010,,5.085,,0.019,,,,,,HIRES
5810.5467,0.4943,0.0010,,4.652,,0.057,,0.206,0.010,4.524166,0.000063,HARPS-Pre2015
5810.8891,0.4922,0.0007,,4.719,,0.017,,,,,,HIRES
5811.8329,0.4804,0.0007,,4.990,,0.016,,,,,,HIRES
5824.7576,0.4854,0.0009,,3.966,,0.019,,,,,,HIRES
5835.4988,0.4966,0.0013,,4.150,,0.087,,0.189,0.010,4.520434,0.000061,HARPS-Pre2015
5836.4813,,,,,,,,0.220,0.010,4.518138,0.000064,HARPS-Pre2015
5837.4788,0.4917,0.0011,,4.170,,0.045,,0.191,0.010,4.516117,0.000064,HARPS-Pre2015
5839.4826,0.4888,0.0013,,4.121,,0.071,,0.189,0.010,4.518603,0.000062,HARPS-Pre2015
5839.7470,0.4957,0.0007,,4.160,,0.015,,,,,,HIRES
5840.4846,0.4883,0.0013,,3.749,,0.072,,0.184,0.010,4.507320,0.000063,HARPS-Pre2015
5841.4943,0.4926,0.0012,,3.961,,0.075,,0.184,0.010,4.518898,0.000061,HARPS-Pre2015
5841.7723,0.4835,0.0006,,3.825,,0.016,,,,,,HIRES
5842.4848,,,,,,,,0.224,0.010,4.519295,0.000060,HARPS-Pre2015
5843.7070,0.5128,0.0007,,5.272,,0.014,,,,,,HIRES
5844.4782,0.4903,0.0011,,3.621,,0.086,,0.194,0.010,4.522760,0.000074,HARPS-Pre2015
5844.5109,0.4924,0.0011,,,,,,0.202,0.009,,,PFS
5845.4942,0.4926,0.0012,,4.215,,0.067,,0.187,0.010,,,HARPS-Pre2015
5845.5198,0.4908,0.0011,,,,,,0.195,0.009,,,PFS
5846.5351,0.4877,0.0012,,,,,,0.191,0.009,,,PFS
5847.5206,0.4923,0.0010,,,,,,0.221,0.008,,,PFS
5850.5207,0.4883,0.0010,,,,,,0.175,0.009,,,PFS
5850.7130,0.4891,0.0006,,3.693,,0.021,,,,,,HIRES
5851.5195,0.4878,0.0011,,,,,,0.188,0.009,,,PFS
5852.5197,0.4948,0.0009,,,,,,0.190,0.009,,,PFS
5992.1568,0.4873,0.0008,,3.103,,0.015,,,,,,HIRES
5992.8807,0.4920,0.0012,,4.270,,0.091,,0.164,0.009,,,HARPS-Pre2015
5994.8851,,,,,,,,,,4.515396,0.000065,HARPS-Pre2015
5995.1140,0.4861,0.0008,,3.724,,0.016,,,,,,HIRES
6000.0918,0.4961,0.0010,,4.660,,0.014,,,,,,HIRES
6019.0055,0.4868,0.0007,,3.686,,0.027,,,,,,HIRES
6020.0085,0.4987,0.0008,,3.747,,0.020,,,,,,HIRES
6064.7831,0.4762,0.0010,,4.585,,0.075,,0.201,0.010,4.523037,0.000071,HARPS-Pre2015
6073.8626,0.4675,0.0006,,4.413,,0.019,,,,,,HIRES
6078.7611,0.4814,0.0012,,5.494,,0.055,,0.201,0.010,4.521650,0.000067,HARPS-Pre2015
6079.6978,0.4979,0.0012,,5.656,,0.073,,0.233,0.010,4.522839,0.000061,HARPS-Pre2015
6080.7608,0.4700,0.0012,,4.367,,0.050,,0.194,0.010,4.519273,0.000066,HARPS-Pre2015
6081.7693,0.4701,0.0011,,4.369,,0.059,,0.198,0.010,4.519934,0.000061,HARPS-Pre2015
6082.7318,0.4677,0.0011,,3.722,,0.169,,0.211,0.010,4.531854,0.000071,HARPS-Pre2015
6083.7031,0.4792,0.0011,,5.421,,0.087,,,,4.521479,0.000063,HARPS-Pre2015
6085.7583,0.4714,0.0011,,4.295,,0.087,,0.197,0.010,4.526934,0.000066,HARPS-Pre2015
6087.7637,0.4728,0.0012,,4.140,,0.071,,0.194,0.010,4.518638,0.000067,HARPS-Pre2015
6088.8052,0.4714,0.0009,,4.248,,0.082,,0.199,0.010,4.522643,0.000066,HARPS-Pre2015
6089.6825,0.4704,0.0010,,4.360,,0.078,,0.197,0.010,4.521856,0.000070,HARPS-Pre2015
6094.7775,0.4748,0.0011,,4.443,,0.088,,0.202,0.010,4.517346,0.000070,HARPS-Pre2015
6102.5868,0.4727,0.0011,,4.558,,0.070,,0.200,0.010,4.521879,0.000069,HARPS-Pre2015
6114.7636,0.4785,0.0011,,,,,,,,,,HIRES
6114.7657,,,,4.060,,0.108,,,,,,HIRES
6117.5485,0.4840,0.0012,,4.958,,0.065,,0.205,0.010,4.517363,0.000059,HARPS-Pre2015
6148.6090,0.4868,0.0013,,,,,,0.184,0.009,,,PFS
6150.5615,0.4835,0.0012,,,,,,0.184,0.009,,,PFS
6166.7365,0.4693,0.0007,,4.320,,0.016,,,,,,HIRES
6195.7367,0.4757,0.0012,,4.283,,0.016,,,,,,HIRES
6357.9033,0.4767,0.0013,,3.867,,0.076,,0.190,0.010,4.516424,0.000058,HARPS-Pre2015
6360.8940,0.4777,0.0012,,4.347,,0.081,,0.181,0.010,4.514413,0.000066,HARPS-Pre2015
6361.8948,0.4808,0.0013,,4.672,,0.087,,0.191,0.010,4.515905,0.000066,HARPS-Pre2015
6363.9060,0.4852,0.0010,,4.369,,0.093,,0.194,0.010,4.524338,0.000076,HARPS-Pre2015
6364.8936,0.4749,0.0010,,3.862,,0.070,,0.184,0.010,4.516577,0.000061,HARPS-Pre2015
6365.8875,0.4783,0.0010,,3.672,,0.091,,0.188,0.010,4.515208,0.000067,HARPS-Pre2015
6367.9044,0.4792,0.0010,,4.087,,0.066,,0.179,0.010,4.512441,0.000067,HARPS-Pre2015
6368.8925,0.4762,0.0010,,3.836,,0.050,,0.176,0.010,4.516783,0.000063,HARPS-Pre2015
6369.9088,0.4805,0.0011,,4.458,,0.054,,0.179,0.010,4.512166,0.000064,HARPS-Pre2015
6371.9133,0.4768,0.0012,,3.629,,0.119,,0.183,0.010,4.520614,0.000071,HARPS-Pre2015
6372.9042,0.4759,0.0011,,3.643,,0.079,,0.175,0.010,4.514091,0.000062,HARPS-Pre2015
6373.8978,0.4777,0.0012,,4.046,,0.076,,0.180,0.010,4.516944,0.000070,HARPS-Pre2015
6417.9365,0.4776,0.0013,,3.555,,0.117,,0.200,0.010,4.515947,0.000061,HARPS-Pre2015
6418.9070,0.4764,0.0013,,4.245,,0.078,,0.191,0.010,4.518086,0.000065,HARPS-Pre2015
6419.7993,0.4768,0.0013,,3.667,,0.166,,0.196,0.010,4.517472,0.000068,HARPS-Pre2015
6420.8074,0.4825,0.0012,,3.966,,0.092,,0.192,0.010,4.516252,0.000064,HARPS-Pre2015
6421.9256,0.4875,0.0013,,3.773,,0.210,,0.202,0.010,,,HARPS-Pre2015
6421.9289,,,,,,,,,,4.514371,0.000068,HARPS-Pre2015
6422.9276,0.5121,0.0009,,5.781,,0.125,,0.218,0.010,4.517183,0.000060,HARPS-Pre2015
6423.8353,0.5010,0.0011,,4.412,,0.117,,0.215,0.010,4.516222,0.000067,HARPS-Pre2015
6424.6607,0.4777,0.0012,,3.100,,0.216,,0.194,0.010,4.517865,0.000077,HARPS-Pre2015
6426.8316,0.4821,0.0012,,3.401,,0.117,,0.186,0.010,4.515427,0.000064,HARPS-Pre2015
